Participant.Private.ID,condition,contrast,totAttempt,totCorrect,percCorrect
5670717,clear,1,12,5,0.4166666666666667
5688378,blur,10,1,1,1
5688378,blur,9,1,1,1
5688378,blur,8,1,1,1
5688378,blur,7,1,1,1
5688378,blur,6,3,3,1
5688378,blur,5,6,6,1
5688378,blur,4,11,9,0.8181818181818182
5688378,blur,3,9,6,0.6666666666666666
5688378,blur,2,6,1,0.16666666666666666
5688378,blur,1,1,0,0
5688378,clear,10,1,1,1
5688378,clear,9,1,1,1
5688378,clear,8,1,1,1
5688378,clear,7,1,1,1
5688378,clear,6,3,3,1
5688378,clear,5,4,4,1
5688378,clear,4,7,5,0.7142857142857143
5688378,clear,3,9,8,0.8888888888888888
5688378,clear,2,8,5,0.625
5688378,clear,1,5,0,0
5693459,blur,10,1,1,1
5693459,blur,9,1,1,1
5693459,blur,8,1,1,1
5693459,blur,7,1,1,1
5693459,blur,6,1,1,1
5693459,blur,5,1,1,1
5693459,blur,4,1,1,1
5693459,blur,3,10,10,1
5693459,blur,2,10,10,1
5693459,blur,1,13,4,0.3076923076923077
5693459,clear,10,1,1,1
5693459,clear,9,1,1,1
5693459,clear,8,1,1,1
5693459,clear,7,1,1,1
5693459,clear,6,2,2,1
5693459,clear,5,2,2,1
5693459,clear,4,2,1,0.5
5693459,clear,3,9,9,1
5693459,clear,2,9,9,1
5693459,clear,1,12,4,0.3333333333333333
5693659,blur,10,1,1,1
5693659,blur,9,1,1,1
5693659,blur,8,1,1,1
5693659,blur,7,1,1,1
5693659,blur,6,1,1,1
5693659,blur,5,2,2,1
5693659,blur,4,3,3,1
5693659,blur,3,11,10,0.9090909090909091
5693659,blur,2,10,8,0.8
5693659,blur,1,9,1,0.1111111111111111
5693659,clear,10,1,1,1
5693659,clear,9,1,1,1
5693659,clear,8,1,1,1
5693659,clear,7,1,1,1
5693659,clear,6,2,2,1
5693659,clear,5,2,2,1
5693659,clear,4,3,2,0.6666666666666666
5693659,clear,3,7,7,1
5693659,clear,2,7,5,0.7142857142857143
5693659,clear,1,15,10,0.6666666666666666
5704264,blur,10,1,1,1
5704264,blur,9,1,1,1
5704264,blur,8,1,1,1
5704264,blur,7,4,4,1
5704264,blur,6,4,4,1
5704264,blur,5,6,3,0.5
5704264,blur,4,7,7,1
5704264,blur,3,8,6,0.75
5704264,blur,2,6,2,0.3333333333333333
5704264,blur,1,2,0,0
5704264,clear,10,1,1,1
5704264,clear,9,1,1,1
5704264,clear,8,1,1,1
5704264,clear,7,1,1,1
5704264,clear,6,1,1,1
5704264,clear,5,1,1,1
5704264,clear,4,1,1,1
5704264,clear,3,9,9,1
