Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?
3,1.64254E+12,18/01/2022 22:28,1.64254E+12,0,18/01/2022 22:28,62188,20,questionnaire-mq5s,,18625869,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
1,1.64254E+12,18/01/2022 20:55,1.64254E+12,0,18/01/2022 20:55,62188,20,questionnaire-mq5s,,18623906,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,178,No
2,1.64254E+12,18/01/2022 20:56,1.64254E+12,0,18/01/2022 20:56,62188,20,questionnaire-mq5s,,18623906,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,178,No
3,1.64254E+12,18/01/2022 20:56,1.64254E+12,0,18/01/2022 20:56,62188,20,questionnaire-mq5s,,18623906,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,178,No
1,1.64254E+12,18/01/2022 19:58,1.64254E+12,0,18/01/2022 19:58,62188,20,questionnaire-mq5s,,18622258,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,168,No
2,1.64254E+12,18/01/2022 19:59,1.64254E+12,0,18/01/2022 19:59,62188,20,questionnaire-mq5s,,18622258,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,168,No
3,1.64254E+12,18/01/2022 19:59,1.64254E+12,0,18/01/2022 19:59,62188,20,questionnaire-mq5s,,18622258,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,168,No
1,1.64252E+12,18/01/2022 15:23,1.64252E+12,0,18/01/2022 15:23,62188,20,questionnaire-mq5s,,18600476,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,178,No
2,1.64252E+12,18/01/2022 15:23,1.64252E+12,0,18/01/2022 15:23,62188,20,questionnaire-mq5s,,18600476,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,178,No
3,1.64252E+12,18/01/2022 15:23,1.64252E+12,0,18/01/2022 15:23,62188,20,questionnaire-mq5s,,18600476,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,178,No
1,1.64251E+12,18/01/2022 14:02,1.64251E+12,0,18/01/2022 14:02,62188,20,questionnaire-mq5s,,18595453,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,152,No
2,1.64251E+12,18/01/2022 14:02,1.64251E+12,0,18/01/2022 14:02,62188,20,questionnaire-mq5s,,18595453,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,152,No
3,1.64251E+12,18/01/2022 14:02,1.64251E+12,0,18/01/2022 14:02,62188,20,questionnaire-mq5s,,18595453,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,152,No
1,1.64251E+12,18/01/2022 12:22,1.64251E+12,0,18/01/2022 12:22,62188,20,questionnaire-mq5s,,18590808,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,163,No
2,1.64251E+12,18/01/2022 12:23,1.64251E+12,0,18/01/2022 12:23,62188,20,questionnaire-mq5s,,18590808,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
3,1.64251E+12,18/01/2022 12:23,1.64251E+12,0,18/01/2022 12:23,62188,20,questionnaire-mq5s,,18590808,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
1,1.6425E+12,18/01/2022 09:45,1.6425E+12,0,18/01/2022 09:45,62188,20,questionnaire-mq5s,,18584565,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,152,No
2,1.6425E+12,18/01/2022 09:46,1.6425E+12,0,18/01/2022 09:46,62188,20,questionnaire-mq5s,,18584565,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,152,No
