Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
2,1643133150041,25/01/2022 17:52:30,1643133149772,0,25/01/2022 17:52:29,62188,20,questionnaire-dbtg,,18866434,BLIND,5585374,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,6590
1,1643112667297,25/01/2022 12:11:07,1643112669464,0,25/01/2022 12:11:09,62188,20,questionnaire-dbtg,,18845274,BLIND,5578336,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1643112673867,25/01/2022 12:11:13,1643112676030,0,25/01/2022 12:11:16,62188,20,questionnaire-dbtg,,18845274,BLIND,5578336,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,6566
1,1642959160958,23/01/2022 17:32:40,1642959161781,0,23/01/2022 17:32:41,62188,20,questionnaire-dbtg,,18782758,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642959165464,23/01/2022 17:32:45,1642959166318,0,23/01/2022 17:32:46,62188,20,questionnaire-dbtg,,18782758,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,4537
1,1642804028855,21/01/2022 22:27:08,1642804028731,0,21/01/2022 22:27:08,62188,20,questionnaire-dbtg,,18746547,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1642804052679,21/01/2022 22:27:32,1642804052566,0,21/01/2022 22:27:32,62188,20,questionnaire-dbtg,,18746547,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,23835
1,1642797322201,21/01/2022 20:35:22,1642797321990,0,21/01/2022 20:35:21,62188,20,questionnaire-dbtg,,18743689,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1642797332297,21/01/2022 20:35:32,1642797331874,0,21/01/2022 20:35:31,62188,20,questionnaire-dbtg,,18743689,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,9885
1,1642765474758,21/01/2022 11:44:34,1642765474529,0,21/01/2022 11:44:34,62188,20,questionnaire-dbtg,,18719552,BLIND,5540429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x727,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
